"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2002","28.46","28.46","28.46","28.46","","1.39%"
"09/08/2002","28.07","28.07","28.07","28.07","","-2.70%"
"08/08/2002","28.85","28.85","28.85","28.85","","-1.43%"
"07/08/2002","29.27","29.27","29.27","29.27","","-3.75%"
"06/08/2002","30.41","30.41","30.41","30.41","","2.32%"
"05/08/2002","29.72","29.72","29.72","29.72","","-0.67%"
"02/08/2002","29.92","29.92","29.92","29.92","","2.29%"
"01/08/2002","29.25","29.25","29.25","29.25","","-1.94%"
"31/07/2002","29.83","29.83","29.83","29.83","","-8.83%"
"30/07/2002","32.72","32.72","32.72","32.72","","-3.05%"
"29/07/2002","33.75","33.75","33.75","33.75","","-6.07%"
"26/07/2002","35.93","35.93","35.93","35.93","","-1.21%"
"25/07/2002","36.37","36.37","36.37","36.37","","5.79%"
"24/07/2002","34.38","34.38","34.38","34.38","","21.83%"
"23/07/2002","28.22","28.22","28.22","28.22","","1.47%"
"22/07/2002","27.81","27.81","27.81","27.81","","1.39%"
"19/07/2002","27.43","27.43","27.43","27.43","","3.28%"
"18/07/2002","26.56","26.56","26.56","26.56","","-1.04%"
"17/07/2002","26.84","26.84","26.84","26.84","","1.59%"
"16/07/2002","26.42","26.42","26.42","26.42","","2.72%"
"15/07/2002","25.72","25.72","25.72","25.72","","5.32%"
"12/07/2002","24.42","24.42","24.42","24.42","","-0.61%"
"11/07/2002","24.57","24.57","24.57","24.57","","5.36%"
"10/07/2002","23.32","23.32","23.32","23.32","","1.04%"
"09/07/2002","23.08","23.08","23.08","23.08","","0.22%"
"08/07/2002","23.03","23.03","23.03","23.03","","2.49%"
"05/07/2002","22.47","22.47","22.47","22.47","","-2.81%"
"04/07/2002","23.12","23.12","23.12","23.12","","-2.78%"
"03/07/2002","23.78","23.78","23.78","23.78","","-1.04%"
"02/07/2002","24.03","24.03","24.03","24.03","","2.21%"
"28/06/2002","23.51","23.51","23.51","23.51","","-3.49%"
"27/06/2002","24.36","24.36","24.36","24.36","","-7.69%"
"26/06/2002","26.39","26.39","26.39","26.39","","21.78%"
"25/06/2002","21.67","21.67","21.67","21.67","","1.26%"
"24/06/2002","21.40","21.40","21.40","21.40","","2.44%"
"21/06/2002","20.89","20.89","20.89","20.89","","3.47%"
"20/06/2002","20.19","20.19","20.19","20.19","","-4.36%"
"19/06/2002","21.11","21.11","21.11","21.11","","5.29%"
"18/06/2002","20.05","20.05","20.05","20.05","","-0.40%"
"17/06/2002","20.13","20.13","20.13","20.13","","5.45%"
"14/06/2002","19.09","19.09","19.09","19.09","","2.14%"
"13/06/2002","18.69","18.69","18.69","18.69","","-0.32%"
"12/06/2002","18.75","18.75","18.75","18.75","","-1.52%"
"11/06/2002","19.04","19.04","19.04","19.04","","-2.46%"
"10/06/2002","19.52","19.52","19.52","19.52","","3.89%"
"07/06/2002","18.79","18.79","18.79","18.79","","0.48%"
"06/06/2002","18.70","18.70","18.70","18.70","","-4.25%"
"05/06/2002","19.53","19.53","19.53","19.53","","-3.12%"
"04/06/2002","20.16","20.16","20.16","20.16","","0.50%"
"03/06/2002","20.06","20.06","20.06","20.06","","1.67%"
"31/05/2002","19.73","19.73","19.73","19.73","","-1.94%"
"30/05/2002","20.12","20.12","20.12","20.12","","0.80%"
"29/05/2002","19.96","19.96","19.96","19.96","","-1.14%"
"28/05/2002","20.19","20.19","20.19","20.19","","-0.05%"
"27/05/2002","20.20","20.20","20.20","20.20","","3.80%"
"24/05/2002","19.46","19.46","19.46","19.46","","-2.11%"
"23/05/2002","19.88","19.88","19.88","19.88","","-0.25%"
"22/05/2002","19.93","19.93","19.93","19.93","","-4.91%"
"21/05/2002","20.96","20.96","20.96","20.96","","5.81%"
"17/05/2002","19.81","19.81","19.81","19.81","","-4.67%"
"16/05/2002","20.78","20.78","20.78","20.78","","-3.21%"
"15/05/2002","21.47","21.47","21.47","21.47","","-0.56%"
"14/05/2002","21.59","21.59","21.59","21.59","","-1.46%"
"13/05/2002","21.91","21.91","21.91","21.91","","1.58%"
"10/05/2002","21.57","21.57","21.57","21.57","","-3.01%"
"09/05/2002","22.24","22.24","22.24","22.24","","3.73%"
"08/05/2002","21.44","21.44","21.44","21.44","","-1.06%"
"07/05/2002","21.67","21.67","21.67","21.67","","2.36%"
"06/05/2002","21.17","21.17","21.17","21.17","","3.37%"
"03/05/2002","20.48","20.48","20.48","20.48","","-3.53%"
"02/05/2002","21.23","21.23","21.23","21.23","","2.02%"
"30/04/2002","20.81","20.81","20.81","20.81","","1.51%"
"29/04/2002","20.50","20.50","20.50","20.50","","6.88%"
"26/04/2002","19.18","19.18","19.18","19.18","","-2.44%"
"25/04/2002","19.66","19.66","19.66","19.66","","-0.86%"
"24/04/2002","19.83","19.83","19.83","19.83","","1.80%"
"23/04/2002","19.48","19.48","19.48","19.48","","-0.41%"
"22/04/2002","19.56","19.56","19.56","19.56","","-1.81%"
"19/04/2002","19.92","19.92","19.92","19.92","","-4.05%"
"18/04/2002","20.76","20.76","20.76","20.76","","-3.08%"
"17/04/2002","21.42","21.42","21.42","21.42","","-0.93%"
"16/04/2002","21.62","21.62","21.62","21.62","","-1.23%"
"15/04/2002","21.89","21.89","21.89","21.89","","1.34%"
"12/04/2002","21.60","21.60","21.60","21.60","","-0.28%"
"11/04/2002","21.66","21.66","21.66","21.66","","0.84%"
"10/04/2002","21.48","21.48","21.48","21.48","","-0.09%"
"09/04/2002","21.50","21.50","21.50","21.50","","-1.33%"
"08/04/2002","21.79","21.79","21.79","21.79","","2.59%"
"04/04/2002","21.24","21.24","21.24","21.24","","-1.44%"
"03/04/2002","21.55","21.55","21.55","21.55","","-1.46%"
"02/04/2002","21.87","21.87","21.87","21.87","","9.02%"
"28/03/2002","20.06","20.06","20.06","20.06","","0.96%"
"27/03/2002","19.87","19.87","19.87","19.87","","-0.80%"
"26/03/2002","20.03","20.03","20.03","20.03","","0.20%"
"25/03/2002","19.99","19.99","19.99","19.99","","1.68%"
"22/03/2002","19.66","19.66","19.66","19.66","","-7.70%"
"21/03/2002","21.30","21.30","21.30","21.30","","-3.45%"
"20/03/2002","22.06","22.06","22.06","22.06","","0.36%"
"19/03/2002","21.98","21.98","21.98","21.98","","-0.77%"
"18/03/2002","22.15","22.15","22.15","22.15","","3.17%"
"15/03/2002","21.47","21.47","21.47","21.47","","-0.79%"
"14/03/2002","21.64","21.64","21.64","21.64","","0.60%"
"13/03/2002","21.51","21.51","21.51","21.51","","-0.97%"
"12/03/2002","21.72","21.72","21.72","21.72","","-2.03%"
"11/03/2002","22.17","22.17","22.17","22.17","","1.84%"
"08/03/2002","21.77","21.77","21.77","21.77","","-3.29%"
"07/03/2002","22.51","22.51","22.51","22.51","","-6.83%"
"06/03/2002","24.16","24.16","24.16","24.16","","-4.77%"
"05/03/2002","25.37","25.37","25.37","25.37","","-1.89%"
"04/03/2002","25.86","25.86","25.86","25.86","","4.19%"
"01/03/2002","24.82","24.82","24.82","24.82","","-2.28%"
"28/02/2002","25.40","25.40","25.40","25.40","","1.68%"
"27/02/2002","24.98","24.98","24.98","24.98","","0.36%"
"26/02/2002","24.89","24.89","24.89","24.89","","-1.07%"
"25/02/2002","25.16","25.16","25.16","25.16","","3.16%"
"22/02/2002","24.39","24.39","24.39","24.39","","2.31%"
"21/02/2002","23.84","23.84","23.84","23.84","","-0.67%"
"20/02/2002","24.00","24.00","24.00","24.00","","6.15%"
"19/02/2002","22.61","22.61","22.61","22.61","","1.89%"
"18/02/2002","22.19","22.19","22.19","22.19","","4.23%"
"15/02/2002","21.29","21.29","21.29","21.29","","2.06%"
"11/02/2002","20.86","20.86","20.86","20.86","","3.47%"
"08/02/2002","20.16","20.16","20.16","20.16","","-2.89%"
"07/02/2002","20.76","20.76","20.76","20.76","","0.39%"
"06/02/2002","20.68","20.68","20.68","20.68","","-6.55%"
"05/02/2002","22.13","22.13","22.13","22.13","","-2.55%"
"04/02/2002","22.71","22.71","22.71","22.71","","-0.70%"
"01/02/2002","22.87","22.87","22.87","22.87","","-4.31%"
"31/01/2002","23.90","23.90","23.90","23.90","","0.89%"
"30/01/2002","23.69","23.69","23.69","23.69","","6.52%"
"29/01/2002","22.24","22.24","22.24","22.24","","3.20%"
"28/01/2002","21.55","21.55","21.55","21.55","","6.95%"
"25/01/2002","20.15","20.15","20.15","20.15","","-0.25%"
"24/01/2002","20.20","20.20","20.20","20.20","","-3.49%"
"23/01/2002","20.93","20.93","20.93","20.93","","-6.69%"
"22/01/2002","22.43","22.43","22.43","22.43","","0.72%"
"21/01/2002","22.27","22.27","22.27","22.27","","0.13%"
"18/01/2002","22.24","22.24","22.24","22.24","","-2.88%"
"17/01/2002","22.90","22.90","22.90","22.90","","-2.84%"
"16/01/2002","23.57","23.57","23.57","23.57","","-3.48%"
"15/01/2002","24.42","24.42","24.42","24.42","","-0.61%"
"14/01/2002","24.57","24.57","24.57","24.57","","0.24%"
"11/01/2002","24.51","24.51","24.51","24.51","","-0.41%"
"10/01/2002","24.61","24.61","24.61","24.61","","-0.24%"
"09/01/2002","24.67","24.67","24.67","24.67","","2.15%"
"08/01/2002","24.15","24.15","24.15","24.15","","1.34%"
"07/01/2002","23.83","23.83","23.83","23.83","","-3.17%"
"04/01/2002","24.61","24.61","24.61","24.61","","-4.87%"
"03/01/2002","25.87","25.87","25.87","25.87","","-4.99%"
"02/01/2002","27.23","27.23","27.23","27.23","","2.60%"
"31/12/2001","26.54","26.54","26.54","26.54","","4.28%"
"28/12/2001","25.45","25.45","25.45","25.45","","0.28%"
"27/12/2001","25.38","25.38","25.38","25.38","","-2.80%"
"24/12/2001","26.11","26.11","26.11","26.11","","-2.79%"
"21/12/2001","26.86","26.86","26.86","26.86","","14.59%"
"20/12/2001","23.44","23.44","23.44","23.44","","-0.80%"
"19/12/2001","23.63","23.63","23.63","23.63","","-3.55%"
"18/12/2001","24.50","24.50","24.50","24.50","","-1.53%"
"17/12/2001","24.88","24.88","24.88","24.88","","0.61%"
"14/12/2001","24.73","24.73","24.73","24.73","","0.57%"
"13/12/2001","24.59","24.59","24.59","24.59","","6.50%"
"12/12/2001","23.09","23.09","23.09","23.09","","-5.10%"
"11/12/2001","24.33","24.33","24.33","24.33","","-0.21%"
"10/12/2001","24.38","24.38","24.38","24.38","","0.79%"
"07/12/2001","24.19","24.19","24.19","24.19","","-5.77%"
"06/12/2001","25.67","25.67","25.67","25.67","","4.14%"
"05/12/2001","24.65","24.65","24.65","24.65","","-2.18%"
"04/12/2001","25.20","25.20","25.20","25.20","","-4.15%"
"03/12/2001","26.29","26.29","26.29","26.29","","7.22%"
"30/11/2001","24.52","24.52","24.52","24.52","","-2.58%"
"29/11/2001","25.17","25.17","25.17","25.17","","2.57%"
"28/11/2001","24.54","24.54","24.54","24.54","","3.46%"
"27/11/2001","23.72","23.72","23.72","23.72","","3.36%"
"26/11/2001","22.95","22.95","22.95","22.95","","5.37%"
"23/11/2001","21.78","21.78","21.78","21.78","","-6.40%"
"22/11/2001","23.27","23.27","23.27","23.27","","-4.32%"
"21/11/2001","24.32","24.32","24.32","24.32","","-3.18%"
"20/11/2001","25.12","25.12","25.12","25.12","","-2.48%"
"19/11/2001","25.76","25.76","25.76","25.76","","-0.27%"
"16/11/2001","25.83","25.83","25.83","25.83","","-0.08%"
"15/11/2001","25.85","25.85","25.85","25.85","","-2.08%"
"14/11/2001","26.40","26.40","26.40","26.40","","-6.12%"
"13/11/2001","28.12","28.12","28.12","28.12","","-0.32%"
"12/11/2001","28.21","28.21","28.21","28.21","","1.26%"
"09/11/2001","27.86","27.86","27.86","27.86","","-4.39%"
"08/11/2001","29.14","29.14","29.14","29.14","","-6.00%"
"07/11/2001","31.00","31.00","31.00","31.00","","-1.18%"
"06/11/2001","31.37","31.37","31.37","31.37","","-0.51%"
"05/11/2001","31.53","31.53","31.53","31.53","","-2.14%"
"02/11/2001","32.22","32.22","32.22","32.22","","-4.08%"
"01/11/2001","33.59","33.59","33.59","33.59","","-3.28%"
"31/10/2001","34.73","34.73","34.73","34.73","","-0.26%"
"30/10/2001","34.82","34.82","34.82","34.82","","1.84%"
"29/10/2001","34.19","34.19","34.19","34.19","","8.92%"
"26/10/2001","31.39","31.39","31.39","31.39","","-0.03%"
"24/10/2001","31.40","31.40","31.40","31.40","","0.06%"
"23/10/2001","31.38","31.38","31.38","31.38","","-7.65%"
"22/10/2001","33.98","33.98","33.98","33.98","","3.00%"
"19/10/2001","32.99","32.99","32.99","32.99","","-3.34%"
"18/10/2001","34.13","34.13","34.13","34.13","","3.17%"
"17/10/2001","33.08","33.08","33.08","33.08","","-3.27%"
"16/10/2001","34.20","34.20","34.20","34.20","","-2.84%"
"15/10/2001","35.20","35.20","35.20","35.20","","4.08%"
"12/10/2001","33.82","33.82","33.82","33.82","","2.24%"
"11/10/2001","33.08","33.08","33.08","33.08","","-4.94%"
"10/10/2001","34.80","34.80","34.80","34.80","","-0.49%"
"09/10/2001","34.97","34.97","34.97","34.97","","-7.24%"
"08/10/2001","37.70","37.70","37.70","37.70","","11.01%"
"05/10/2001","33.96","33.96","33.96","33.96","","0.30%"
"04/10/2001","33.86","33.86","33.86","33.86","","-3.48%"
"03/10/2001","35.08","35.08","35.08","35.08","","-2.53%"
"28/09/2001","35.99","35.99","35.99","35.99","","-4.21%"
"27/09/2001","37.57","37.57","37.57","37.57","","-3.47%"
"26/09/2001","38.92","38.92","38.92","38.92","","-3.92%"
"25/09/2001","40.51","40.51","40.51","40.51","","-4.32%"
"24/09/2001","42.34","42.34","42.34","42.34","","-0.14%"
"21/09/2001","42.40","42.40","42.40","42.40","","-3.13%"
"20/09/2001","43.77","43.77","43.77","43.77","","8.31%"
"19/09/2001","40.41","40.41","40.41","40.41","","-1.87%"
"18/09/2001","41.18","41.18","41.18","41.18","","-1.91%"
"17/09/2001","41.98","41.98","41.98","41.98","","12.76%"
"14/09/2001","37.23","37.23","37.23","37.23","","-3.75%"
"13/09/2001","38.68","38.68","38.68","38.68","","6.47%"
"12/09/2001","36.33","36.33","36.33","36.33","","22.08%"
"11/09/2001","29.76","29.76","29.76","29.76","","-1.16%"
"10/09/2001","30.11","30.11","30.11","30.11","","5.35%"
"07/09/2001","28.58","28.58","28.58","28.58","","3.63%"
"06/09/2001","27.58","27.58","27.58","27.58","","0.84%"
"05/09/2001","27.35","27.35","27.35","27.35","","0.00%"
"04/09/2001","27.35","27.35","27.35","27.35","","0.29%"
"03/09/2001","27.27","27.27","27.27","27.27","","-0.76%"
"31/08/2001","27.48","27.48","27.48","27.48","","2.77%"
"30/08/2001","26.74","26.74","26.74","26.74","","-1.98%"
"29/08/2001","27.28","27.28","27.28","27.28","","-0.33%"
"28/08/2001","27.37","27.37","27.37","27.37","","-0.55%"
"27/08/2001","27.52","27.52","27.52","27.52","","2.88%"
"24/08/2001","26.75","26.75","26.75","26.75","","-2.83%"
"23/08/2001","27.53","27.53","27.53","27.53","","0.95%"
"22/08/2001","27.27","27.27","27.27","27.27","","0.26%"
"21/08/2001","27.20","27.20","27.20","27.20","","1.42%"
"20/08/2001","26.82","26.82","26.82","26.82","","5.26%"
"17/08/2001","25.48","25.48","25.48","25.48","","0.87%"
"16/08/2001","25.26","25.26","25.26","25.26","","2.68%"
"15/08/2001","24.60","24.60","24.60","24.60","","0.70%"
"14/08/2001","24.43","24.43","24.43","24.43","","-0.89%"
"13/08/2001","24.65","24.65","24.65","24.65","","3.09%"
"10/08/2001","23.91","23.91","23.91","23.91","","-1.12%"
"09/08/2001","24.18","24.18","24.18","24.18","","4.13%"
"08/08/2001","23.22","23.22","23.22","23.22","","-0.13%"
"07/08/2001","23.25","23.25","23.25","23.25","","2.60%"
"06/08/2001","22.66","22.66","22.66","22.66","","3.80%"
"03/08/2001","21.83","21.83","21.83","21.83","","-1.22%"
"02/08/2001","22.10","22.10","22.10","22.10","","-3.20%"
"01/08/2001","22.83","22.83","22.83","22.83","","-3.99%"
"31/07/2001","23.78","23.78","23.78","23.78","","-2.50%"
"30/07/2001","24.39","24.39","24.39","24.39","","1.92%"
"27/07/2001","23.93","23.93","23.93","23.93","","-2.09%"
"26/07/2001","24.44","24.44","24.44","24.44","","6.12%"
"24/07/2001","23.03","23.03","23.03","23.03","","-1.50%"
"23/07/2001","23.38","23.38","23.38","23.38","","1.52%"
"20/07/2001","23.03","23.03","23.03","23.03","","-1.24%"
"19/07/2001","23.32","23.32","23.32","23.32","","1.39%"
"18/07/2001","23.00","23.00","23.00","23.00","","-1.16%"
"17/07/2001","23.27","23.27","23.27","23.27","","2.83%"
"16/07/2001","22.63","22.63","22.63","22.63","","0.44%"
"13/07/2001","22.53","22.53","22.53","22.53","","0.13%"
"12/07/2001","22.50","22.50","22.50","22.50","","-1.57%"
"11/07/2001","22.86","22.86","22.86","22.86","","1.55%"
